well,CHIR99021_uM,BMP4_uM,SAG_uM,log_harvest_day,is_qc_duplicate,predicted_ct_0,predicted_ct_1,predicted_ct_2,predicted_ct_3,predicted_ct_4,acquisition_value,is_replicate
A1,1.589009398989052,0.0017972066872573927,0.2152818348101512,1.7333858335055514,0.0,0.220534997852217,0.19590918707596472,0.1707754603556998,0.2017733098923415,0.2110070448237769,-14.035274314238006,False
A2,2.750519867640341,0.0030995059850653234,0.3239647873585265,0.8369284504263711,0.0,0.27352958888643186,0.19935418603968602,0.1605265019580534,0.16708544103410197,0.19950428208172682,-14.035274314238006,False
A3,2.8964723770974583,0.002857646940828136,0.766676236796535,1.3714296764680738,0.0,0.2893937661901216,0.1664724275237874,0.16882031158544267,0.17682074909844284,0.19849274560220564,-14.035274314238006,False
A4,1.6427998017675642,0.0018483544471052074,0.399064368130186,2.8570335624598098,0.0,0.22476235371614015,0.14204116161356636,0.1339853424415758,0.23686401950302485,0.26234712272569277,-14.035274314238006,False
A5,2.4223204654921875,0.0035843651996939,0.3180034749718639,0.4952336603745454,,,,,,,,True
A6,2.7890929570277194,0.0032324815182576,0.6334037565104235,3.92157265584473,,,,,,,,True
