condition,confidence,n_nonzero_morphogens,fidelity
virtual_00159,0.08129195957489292,5,0.0
virtual_00160,0.043250845203492976,5,0.0
virtual_00161,0.01,7,0.0
virtual_00162,0.0924882803808249,7,0.0
virtual_00163,0.01,8,0.0
virtual_00164,0.0386050006230357,9,0.0
virtual_00165,0.02011056693886433,7,0.0
virtual_00166,0.18299455531143977,5,0.0
virtual_00167,0.01,7,0.0
virtual_00168,0.01,9,0.0
virtual_00169,0.01,5,0.0
virtual_00170,0.11934513087365513,4,0.0
virtual_00171,0.07326929842668058,7,0.0
virtual_00172,0.12541816453595075,5,0.0
virtual_00173,0.01,8,0.0
virtual_00174,0.07499094596535281,7,0.0
virtual_00175,0.1386005496785293,4,0.0
virtual_00176,0.01,5,0.0
virtual_00177,0.025236675079548482,7,0.0
virtual_00178,0.01,6,0.0
virtual_00179,0.016422813724979758,5,0.0
virtual_00180,0.09792865304044489,6,0.0
virtual_00181,0.01,5,0.0
virtual_00182,0.04299000141482205,6,0.0
virtual_00183,0.01,6,0.0
virtual_00184,0.01250999130316246,7,0.0
virtual_00185,0.0348786915861491,7,0.0
virtual_00186,0.11929359512098577,6,0.0
virtual_00187,0.013535390606523826,5,0.0
virtual_00188,0.01,8,0.0
virtual_00189,0.01,6,0.0
virtual_00190,0.10748530159958081,7,0.0
virtual_00191,0.01,7,0.0
virtual_00192,0.02222465475324578,9,0.0
virtual_00193,0.0977950389205229,5,0.0
virtual_00194,0.07227297514267983,8,0.0
virtual_00195,0.01939996588086369,6,0.0
virtual_00196,0.011905145797543095,6,0.0
virtual_00197,0.01,7,0.0
virtual_00198,0.01,6,0.0
virtual_00199,0.01,8,0.0
virtual_00200,0.0895988324623221,7,0.0
virtual_00201,0.012573520014746004,6,0.0
virtual_00202,0.01,7,0.0
virtual_00203,0.01,6,0.0
virtual_00204,0.01,6,0.0
virtual_00205,0.01,6,0.0
virtual_00206,0.01,6,0.0
virtual_00207,0.01,9,0.0
virtual_00208,0.11850033906486362,6,0.0
virtual_00209,0.01,9,0.0
virtual_00210,0.01,9,0.0
virtual_00211,0.014243349315019162,6,0.0
virtual_00212,0.01,7,0.0
virtual_00213,0.10365539953198948,7,0.0
virtual_00214,0.01,8,0.0
virtual_00215,0.01,6,0.0
virtual_00216,0.016177765489909415,6,0.0
virtual_00217,0.01,8,0.0
virtual_00218,0.04277435393530442,8,0.0
virtual_00219,0.01,6,0.0
virtual_00220,0.01,6,0.0
virtual_00221,0.15538553760754914,4,0.0
virtual_00222,0.01,9,0.0
virtual_00223,0.146949002970926,4,0.0
virtual_00224,0.01,5,0.0
virtual_00225,0.012698461265234846,8,0.0
virtual_00226,0.01,7,0.0
virtual_00227,0.01693095204893576,6,0.0
virtual_00228,0.019682438203713723,6,0.0
virtual_00229,0.01,9,0.0
virtual_00230,0.011321833112456152,7,0.0
virtual_00231,0.01,8,0.0
virtual_00232,0.02745521117003038,7,0.0
virtual_00233,0.09640388334181683,5,0.0
virtual_00234,0.08903115662626664,7,0.0
virtual_00235,0.12848729636020415,3,0.0
virtual_00236,0.10859973647286293,7,0.0
virtual_00237,0.01,6,0.0
virtual_00238,0.01,5,0.0
virtual_00239,0.06257321498733331,8,0.0
virtual_00240,0.06243914072071693,6,0.0
virtual_00241,0.01,7,0.0
virtual_00242,0.026428666896916742,7,0.0
virtual_00243,0.01,8,0.0
virtual_00244,0.04211851832705638,5,0.0
virtual_00245,0.11119375867299179,8,0.0
virtual_00246,0.01,8,0.0
virtual_00247,0.01,7,0.0
virtual_00248,0.01,7,0.0
virtual_00249,0.04930630866440434,6,0.0
virtual_00250,0.03597496625346192,5,0.0
virtual_00251,0.01314110392445329,7,0.0
virtual_00252,0.12040075308159645,5,0.0
virtual_00253,0.01,7,0.0
virtual_00254,0.07608178096811156,5,0.0
virtual_00255,0.060867918411918825,6,0.0
